# M_center  P_simulated  P_Ising_theoretical
-3.979999999999999982e+00 0.000000000000000000e+00 2.074552559725439939e-152
-3.939999999999999947e+00 0.000000000000000000e+00 7.996129957917899951e-144
-3.899999999999999911e+00 0.000000000000000000e+00 1.206152831293091367e-135
-3.859999999999999876e+00 0.000000000000000000e+00 7.381325211136607199e-128
-3.819999999999999840e+00 0.000000000000000000e+00 1.897836975676219355e-120
-3.779999999999999805e+00 0.000000000000000000e+00 2.120845190092655006e-113
-3.739999999999999769e+00 0.000000000000000000e+00 1.064575519655797566e-106
-3.700000000000000178e+00 0.000000000000000000e+00 2.478114676118088981e-100
-3.660000000000000142e+00 0.000000000000000000e+00 2.759184180177656493e-94
-3.620000000000000107e+00 0.000000000000000000e+00 1.514178635546011938e-88
-3.580000000000000071e+00 0.000000000000000000e+00 4.216265924832099818e-83
-3.540000000000000036e+00 0.000000000000000000e+00 6.127084542643288134e-78
-3.500000000000000000e+00 0.000000000000000000e+00 4.775150463592016467e-73
-3.459999999999999964e+00 0.000000000000000000e+00 2.049179970606994261e-68
-3.419999999999999929e+00 0.000000000000000000e+00 4.967228537218861487e-64
-3.379999999999999893e+00 0.000000000000000000e+00 6.971194420459004091e-60
-3.339999999999999858e+00 0.000000000000000000e+00 5.801259932768226835e-56
-3.299999999999999822e+00 0.000000000000000000e+00 2.929380086676901392e-52
-3.260000000000000231e+00 0.000000000000000000e+00 9.177929216496091831e-49
-3.220000000000000195e+00 0.000000000000000000e+00 1.822953447439853371e-45
-3.180000000000000160e+00 0.000000000000000000e+00 2.343643056464218405e-42
-3.140000000000000124e+00 0.000000000000000000e+00 1.989756804009658490e-39
-3.100000000000000089e+00 0.000000000000000000e+00 1.137367738981210213e-36
-3.060000000000000053e+00 0.000000000000000000e+00 4.459575773365395904e-34
-3.020000000000000018e+00 0.000000000000000000e+00 1.221193041392342128e-31
-2.979999999999999982e+00 0.000000000000000000e+00 2.376260130614031696e-29
-2.939999999999999947e+00 0.000000000000000000e+00 3.340910714821718554e-27
-2.899999999999999911e+00 0.000000000000000000e+00 3.448800247997942314e-25
-2.859999999999999876e+00 0.000000000000000000e+00 2.654668546513196713e-23
-2.819999999999999840e+00 0.000000000000000000e+00 1.546468784951491790e-21
-2.779999999999999805e+00 0.000000000000000000e+00 6.916074147700823005e-20
-2.739999999999999769e+00 0.000000000000000000e+00 2.407249342063896021e-18
-2.699999999999999734e+00 0.000000000000000000e+00 6.607599853062907183e-17
-2.659999999999999698e+00 0.000000000000000000e+00 1.448489620930144971e-15
-2.619999999999999662e+00 0.000000000000000000e+00 2.566845780237267528e-14
-2.580000000000000071e+00 0.000000000000000000e+00 3.720000358037064144e-13
-2.540000000000000036e+00 0.000000000000000000e+00 4.458406858064879688e-12
-2.500000000000000000e+00 0.000000000000000000e+00 4.466212827137664424e-11
